ID_RESERVA,ID_ESPACIO_PARQUEADERO,COSTO,ID_DEMANDANTE
1,216,14271,4147013
2,715,11799,4807711
3,40,18308,2917017
4,746,6909,2684796
5,576,11958,1521089
6,54,10048,6268369
7,372,7590,9531311
8,808,9376,9262142
9,745,12562,7634236
10,195,4515,1860451
11,731,8959,5073758
12,369,27835,3131238
13,769,22446,4750887
14,438,9178,4828594
15,854,3867,5201361
16,389,26956,5763133
17,43,3125,2447111
18,991,2792,2602821
19,150,8423,6123376
20,427,24250,4278900
21,606,4316,3105681
22,240,8228,9916076
23,4,5861,6866917
24,850,6960,5560298
25,684,14506,4683749
26,392,28981,5005974
27,345,3206,3936723
28,54,1589,4157213
29,182,13792,1254467
30,387,18668,5305523
31,172,5173,5192818
32,367,20943,2896878
33,797,23052,9687035
34,109,26660,9157654
35,598,7581,8372453
36,357,15972,5201361
37,944,12996,7242035
38,227,3570,8211054
39,373,10004,4961557
40,505,28871,8889071
41,188,27330,2703173
42,772,4899,6802395
43,34,8871,8767094
44,696,26111,5648415
45,923,20824,5998777
46,177,20423,2479384
47,956,24446,3217560
48,652,13269,8176659
49,454,11777,7493357
50,46,5618,3804031
51,765,24377,3520823
52,771,8728,2025216
53,699,23780,4097998
54,690,22655,2144110
55,788,16481,7169523
56,788,6687,6711350
57,767,28740,4281971
58,173,19772,4845016
59,525,28266,7601728
60,12,8592,6832111
61,377,26002,6180636
62,940,7226,6331480
63,424,21838,7063433
64,13,25557,1453319
65,739,21224,6912243
66,746,14041,8965091
67,242,20939,2685168
68,233,18066,7676328
69,697,18466,6140366
70,390,24754,4936536
71,988,3038,1656583
72,202,5213,9337797
73,366,12680,7978643
74,117,18618,3942002
75,626,22339,3319826
76,148,28407,1739099
77,66,21013,3720723
78,876,11872,6711350
79,939,9093,4750887
80,623,16938,7586477
81,727,11672,4074952
82,872,7125,1301758
83,80,15971,1401682
84,257,11501,2778934
85,930,3357,1631663
86,507,11354,4807711
87,372,29955,9884288
88,300,18083,7559434
89,751,19998,5188480
90,277,21217,2438083
91,402,13474,6969162
92,326,17312,4750887
93,816,17154,2537317
94,818,20904,4262654
95,403,13502,1260070
96,293,19051,1826586
97,961,29762,3646687
98,556,21904,7241367
99,325,3620,8312329
100,353,16926,5221750
101,627,8146,3081872
102,362,10162,2255869
103,517,1948,1350435
104,731,11881,4597307
105,593,4278,9531311
106,13,6343,4458699
107,252,29630,9346036
108,157,2779,2564528
109,730,26392,9042421
110,409,13695,9186089
111,360,7528,9047316
112,442,4971,3656809
113,299,25588,5630624
114,991,23908,3180976
115,759,25291,4056465
116,31,3643,2191144
117,639,4047,7303887
118,284,17773,6504385
119,79,28779,2496355
120,621,19543,4597307
121,251,29725,5663842
122,979,8955,9786324
123,208,19193,4823605
124,258,6093,3178652
125,606,27553,8817286
126,310,9878,5990133
127,511,16766,6819216
128,622,14059,5954662
129,799,22713,7196680
130,928,25133,2923686
131,584,28705,3794488
132,514,9862,5013436
133,928,11108,2317188
134,612,27190,3032176
135,669,28370,4469097
136,107,1935,8727103
137,203,20637,4315135
138,126,14795,8712722
139,316,28438,9857341
140,814,5938,7899943
141,973,7821,4328614
142,269,28215,2296325
143,971,17752,7493357
144,143,28313,5699990
145,448,9960,2607385
146,327,25621,5949863
147,571,25076,9042421
148,469,22937,4047366
149,860,20413,8712722
150,564,1670,4213884
151,474,19551,2337607
152,469,24742,6438017
153,638,27968,3606621
154,458,14262,2330559
155,411,24025,2191144
156,169,22472,7539044
157,582,13264,9489257
158,880,29966,4845440
159,819,25408,6896490
160,532,11268,4339441
161,376,21002,4097998
162,529,4881,9047004
163,793,9232,3955171
164,113,4056,9844894
165,239,8330,2255869
166,364,13145,3794488
167,555,11210,4778687
168,523,24096,7632203
169,19,9154,7728563
170,336,17105,3989957
171,978,18107,6711350
172,13,16893,7074048
173,801,16910,4213884
174,599,26646,6082760
175,513,3373,2884289
176,382,21957,1656583
177,976,27985,2144110
178,724,22745,2109364
179,255,11202,7512642
180,534,13921,4927181
181,636,24467,1577777
182,329,1933,1144700
183,421,23906,9292408
184,99,7095,1338646
185,265,24829,4147013
186,786,22329,3608933
187,275,25880,2026675
188,364,3403,6239460
189,965,24615,6302615
190,386,13409,1826452
191,18,1771,8777673
192,322,29990,8211054
193,248,18995,4005837
194,65,14497,3805726
195,526,11959,5097128
196,388,26920,4330827
197,328,28100,6082760
198,850,2669,8045297
199,226,16733,9687035
200,476,4521,4683749
201,452,18723,8345024
202,90,13639,1354457
203,351,11320,4458699
204,318,6880,6333667
205,257,16595,2479384
206,889,28217,1682752
207,279,8419,7899943
208,894,28908,6101229
209,989,4081,4845016
210,482,8749,5949863
211,57,5520,7475281
212,861,7771,2406239
213,713,24847,9951216
214,969,5138,1758389
215,298,15496,5599452
216,439,21647,9936346
217,779,16093,4683749
218,973,20726,1383499
219,841,8945,8425879
220,444,8205,9413560
221,293,9087,2077903
222,858,15455,7402868
223,542,9043,8175130
224,178,27512,1369719
225,672,24924,3150513
226,224,18233,6401916
227,766,29474,9864533
228,252,14160,5598096
229,625,13290,4768744
230,234,8582,3041534
231,112,26815,2126762
232,488,3208,1826452
233,838,5690,6302615
234,945,5491,7045841
235,757,7889,6010685
236,564,14587,7085575
237,334,2486,8645671
238,825,28638,3990816
239,106,29073,3287425
240,293,1700,2591072
241,804,24854,3936723
242,108,28923,5998376
243,214,2745,1231974
244,907,26939,7712798
245,525,26939,6331589
246,647,14816,5664898
247,783,9418,2279337
248,364,10467,9918823
249,907,18756,2814834
250,845,24253,4126950
251,703,14121,9361199
252,151,19340,3845938
253,334,8649,8772010
254,28,29874,6122361
255,161,20915,2084827
256,616,21164,8279238
257,523,27347,7475281
258,686,1238,9658133
259,43,24297,9786324
260,983,14141,2199856
261,155,4820,1839214
262,772,7948,4241676
263,664,24246,1809173
264,642,19351,5985053
265,590,17427,9224085
266,841,19883,8834399
267,817,9235,2828497
268,632,29914,6430790
269,74,25874,6991555
270,851,5170,1632572
271,779,30000,9999245
272,908,9788,7432911
273,942,13225,4157213
274,826,28459,7711773
275,484,17129,6817831
276,611,7351,8101277
277,419,29272,2172773
278,571,29833,4228966
279,245,24173,2077903
280,789,16386,5440190
281,366,10005,7842197
282,507,22871,4026536
283,526,18483,1560600
284,404,21839,4026536
285,855,17933,8045297
286,336,15315,6259209
287,922,21962,7348810
288,162,26465,4094736
289,629,17602,4157213
290,894,15636,9656720
291,358,16222,6711350
292,135,16144,8229342
293,980,29574,3007363
294,70,9412,6401916
295,64,9354,2181408
296,162,21688,6717816
297,232,28653,5003322
298,982,6337,5124570
299,497,9503,5648847
300,320,14821,8172240
